news_id,news_url,image_url
21,https://www.misbar.com/factcheck/2025/04/22/%D9%81%D9%8A%D8%AF%D9%8A%D9%88-%D8%A5%D8%B9%D9%84%D8%A7%D9%86-%D8%A7%D9%84%D8%AF%D8%B9%D9%85-%D8%A7%D9%84%D8%B3%D8%B1%D9%8A%D8%B9-%D8%A7%D9%86%D8%B6%D9%85%D8%A7%D9%85-%D8%B6%D8%A8%D8%A7%D8%B7-%D9%85%D9%86-%D8%A7%D9%84%D8%AC%D9%8A%D8%B4-%D8%A7%D9%84%D8%B3%D9%88%D8%AF%D8%A7%D9%86%D9%8A-%D8%A5%D9%84%D9%89-%D8%B5%D9%81%D9%88%D9%81%D9%87%D8%A7-%D9%82%D8%AF%D9%8A%D9%85,https://assets.misbar.com/styles/large_425x240/public/images/2025-04/1.PNG.webp?itok=qJhcjAB_
22,https://www.misbar.com/factcheck/2025/04/19/%D8%A7%D9%84%D9%81%D9%8A%D8%AF%D9%8A%D9%88-%D9%82%D8%AF%D9%8A%D9%85-%D9%88%D9%84%D9%8A%D8%B3-%D9%84%D8%A5%D8%B9%D9%84%D8%A7%D9%86-%D9%86%D8%A7%D8%A6%D8%A8-%D8%B1%D8%A6%D9%8A%D8%B3-%D9%85%D8%AC%D9%84%D8%B3-%D8%A7%D9%84%D8%B3%D9%8A%D8%A7%D8%AF%D8%A9-%D8%A7%D9%86%D8%AA%D9%87%D8%A7%D8%A1-%D8%B9%D9%87%D8%AF-%D9%82%D9%88%D8%A7%D8%AA-%D8%A7%D9%84%D8%AF%D8%B9%D9%85-%D8%A7%D9%84%D8%B3%D8%B1%D9%8A%D8%B9,https://assets.misbar.com/styles/large_425x240/public/images/2025-04/malk-%60qar-nayb-ryys-almjls-alantqaly-fy-alswdan.PNG.webp?itok=2aodRWi6
23,https://www.misbar.com/factcheck/2025/04/17/%D8%A7%D9%84%D8%B5%D9%88%D8%B1%D8%A9-%D9%84%D9%8A%D8%B3%D8%AA-%D9%84%D8%AA%D8%AD%D8%B7%D9%85-%D8%B7%D8%A7%D8%A6%D8%B1%D8%A9-%D8%AA%D8%A7%D8%A8%D8%B9%D8%A9-%D9%84%D9%82%D9%88%D8%A7%D8%AA-%D8%A7%D9%84%D8%AF%D8%B9%D9%85-%D8%A7%D9%84%D8%B3%D8%B1%D9%8A%D8%B9-%D8%A3%D8%AB%D9%86%D8%A7%D8%A1-%D8%A5%D9%82%D9%84%D8%A7%D8%B9%D9%87%D8%A7-%D9%85%D9%86-%D9%85%D8%B7%D8%A7%D8%B1-%D8%A3%D9%85-%D8%AC%D8%B1%D8%B3-%D8%AD%D8%AF%D9%8A%D8%AB%D9%8B%D8%A7,https://assets.misbar.com/styles/large_425x240/public/images/2025-04/thtm-tayrt.jpg.webp?itok=NWo_9mr1
24,https://www.misbar.com/factcheck/2025/04/11/%D8%A7%D9%84%D9%81%D9%8A%D8%AF%D9%8A%D9%88-%D9%85%D9%86-%D8%B9%D8%A7%D9%85-2022-%D9%88%D9%84%D9%8A%D8%B3-%D9%84%D8%B6%D8%A8%D8%B7-%D9%82%D8%A7%D8%B1%D8%A8-%D9%85%D8%AD%D9%85%D9%91%D9%84-%D8%A8%D8%A7%D9%84%D8%A3%D8%B3%D9%84%D8%AD%D8%A9-%D9%85%D8%AA%D8%AC%D9%87-%D8%A5%D9%84%D9%89-%D9%82%D9%88%D8%A7%D8%AA-%D8%A7%D9%84%D8%AF%D8%B9%D9%85-%D8%A7%D9%84%D8%B3%D8%B1%D9%8A%D8%B9-%D8%AD%D8%AF%D9%8A%D8%AB%D9%8B%D8%A7,https://assets.misbar.com/styles/large_425x240/public/images/2025-04/tnzyl---2025-04-11t164913.909.png.webp?itok=-FsX1ezT
25,https://www.misbar.com/factcheck/2025/04/07/%D8%A7%D9%84%D9%81%D9%8A%D8%AF%D9%8A%D9%88-%D9%85%D9%86-%D9%84%D9%82%D8%A7%D8%A1-%D8%AD%D9%85%D9%8A%D8%AF%D8%AA%D9%8A-%D9%86%D8%A7%D8%A6%D8%A8-%D9%88%D8%B2%D9%8A%D8%B1-%D8%A7%D9%84%D8%AF%D9%81%D8%A7%D8%B9-%D8%A7%D9%84%D8%B1%D9%88%D8%B3%D9%8A-%D9%81%D9%8A-%D9%85%D9%88%D8%B3%D9%83%D9%88-%D8%B9%D8%A7%D9%85-2022-%D9%88%D9%84%D9%8A%D8%B3-%D8%AD%D8%AF%D9%8A%D8%AB%D9%8B%D8%A7,https://assets.misbar.com/styles/large_425x240/public/images/2025-04/screenshot-2025-04-07-133523.jpg.webp?itok=5A3ZgoIR
26,https://www.misbar.com/factcheck/2025/04/07/%D9%85%D8%B8%D8%A7%D9%87%D8%B1%D8%A7%D8%AA-%D8%B6%D8%AF-%D8%A7%D8%B3%D8%AA%D8%B6%D8%A7%D9%81%D8%A9-%D8%A7%D9%84%D8%A5%D9%85%D8%A7%D8%B1%D8%A7%D8%AA-%D9%85%D8%A4%D8%AA%D9%85%D8%B1-%D9%83%D9%88%D8%A8-28-%D9%88%D9%84%D9%8A%D8%B3%D8%AA-%D8%AA%D9%86%D8%AF%D9%8A%D8%AF%D9%8B%D8%A7-%D8%A8%D8%A7%D9%84%D8%AA%D8%AF%D8%AE%D9%84-%D8%A7%D9%84%D8%A5%D9%85%D8%A7%D8%B1%D8%A7%D8%AA%D9%8A-%D9%81%D9%8A-%D8%AD%D8%B1%D8%A8-%D8%A7%D9%84%D8%B3%D9%88%D8%AF%D8%A7%D9%86,https://assets.misbar.com/styles/small_scale_180/public/images/2025-04/hdy.jpg.webp?itok=NKqDBnvE
27,https://www.misbar.com/factcheck/2025/04/05/%D9%81%D9%8A%D8%AF%D9%8A%D9%88-%D9%88%D8%B5%D9%88%D9%84-%D8%B7%D8%A7%D8%A6%D8%B1%D8%A9-%D9%85%D8%B3%D8%A7%D8%B9%D8%AF%D8%A7%D8%AA-%D8%A5%D9%85%D8%A7%D8%B1%D8%A7%D8%AA%D9%8A%D8%A9-%D8%A5%D9%84%D9%89-%D8%A7%D9%84%D8%B3%D9%88%D8%AF%D8%A7%D9%86-%D9%85%D9%86-2023-%D9%88%D9%84%D9%8A%D8%B3-%D8%AD%D8%AF%D9%8A%D8%AB%D9%8B%D8%A7,https://assets.misbar.com/styles/large_425x240/public/images/2025-04/alghlaf.jpg.webp?itok=J0OZ0bnc
28,https://www.misbar.com/factcheck/2025/03/27/%D8%A7%D9%84%D8%B5%D9%88%D8%B1%D8%A9-%D9%85%D9%86-%D8%B9%D8%A7%D9%85-2019-%D9%88%D9%84%D9%8A%D8%B3%D8%AA-%D9%84%D8%A5%D8%B9%D8%A7%D8%AF%D8%A9-%D8%AA%D9%85%D9%88%D8%B6%D8%B9-%D8%A7%D9%84%D8%AF%D8%B9%D9%85-%D8%A7%D9%84%D8%B3%D8%B1%D9%8A%D8%B9-%D9%81%D9%8A-%D8%A7%D9%84%D8%AE%D8%B1%D8%B7%D9%88%D9%85,https://assets.misbar.com/styles/large_425x240/public/images/2025-03/gm_c6rdwyaacixs.jpg.webp?itok=icTSdbKF
29,https://www.misbar.com/factcheck/2025/03/22/%D8%A7%D9%84%D8%B5%D9%88%D8%B1%D8%A9-%D9%84%D9%8A%D8%B3%D8%AA-%D9%84%D8%A3%D8%B3%D8%B1-%D8%A7%D9%84%D8%AC%D9%8A%D8%B4-%D8%A7%D9%84%D8%B3%D9%88%D8%AF%D8%A7%D9%86%D9%8A-%D8%B9%D9%86%D8%A7%D8%B5%D8%B1-%D9%85%D9%86-%D8%A7%D9%84%D8%AF%D8%B9%D9%85-%D8%A7%D9%84%D8%B3%D8%B1%D9%8A%D8%B9-%D9%81%D9%8A-%D9%88%D8%B3%D8%B7-%D8%A7%D9%84%D8%AE%D8%B1%D8%B7%D9%88%D9%85,https://assets.misbar.com/styles/large_425x240/public/images/2025-03/asry-ald%60m-alsry%60.PNG.webp?itok=1JdNlLeN
30,https://www.misbar.com/editorial/2025/03/16/%D8%A3%D8%AB%D8%B1-%D8%A7%D9%84%D8%AA%D8%B6%D9%84%D9%8A%D9%84-%D8%A7%D9%84%D9%85%D8%B9%D9%84%D9%88%D9%85%D8%A7%D8%AA%D9%8A-%D9%88%D8%A7%D9%84%D8%AA%D8%B2%D9%8A%D9%8A%D9%81-%D8%A7%D9%84%D8%B9%D9%85%D9%8A%D9%82-%D8%B9%D9%84%D9%89-%D8%AD%D9%8A%D8%A7%D8%A9-%D8%A7%D9%84%D8%B3%D9%88%D8%AF%D8%A7%D9%86%D9%8A%D9%8A%D9%86-%D8%A3%D8%AB%D9%86%D8%A7%D8%A1-%D8%A7%D9%84%D8%AD%D8%B1%D8%A8,https://assets.misbar.com/styles/large_425x240/public/images/2025-03/athr-altdlyl-alm%60lwmaty-%60ly-hyat-alswdanyyn-athna-alhrb.png.webp?itok=ARnGE8Ep
